Org Id,School Name,Street Address,Postal Address,Phone,Fax,Principal,Email,Students FTE,Website
6228,Albuera Street Primary School,"10a Albuera Street, Hobart TAS, 7004","10a Albuera Street, Hobart TAS, 7000",03 6223 2268,03 6224 3439,Kerry McMinn,Albuera.Street.Primary@education.tas.gov.au,265.0 (as at 21 February 2020),http://albuerastreetprimary.education.tas.edu.au/
6120,Andrews Creek Primary School,"20 Westwind Drive, Wesley Vale TAS, 7307","C/- Post Office, Wesley Vale TAS, 7307",03 6428 4088,03 6428 4214,Trish Maney,Andrews.Creek.Primary@education.tas.gov.au,146.6 (as at 21 February 2020),http://www.andrewscreekprimary.com.au
6265,Ashley School,"4260 Meander Valley Road, Deloraine TAS, 7304","Care PO Box 126, Deloraine TAS, 7304",03 6701 2183,,"Angela Gatti
Shane Stanton",Ashley@education.tas.gov.au,19.0 (as at 21 February 2020),http://ashley.education.tas.edu.au/
6771,Austins Ferry Primary School,"13 Brodie Street, Claremont TAS, 7011","13 Brodie Street, Claremont TAS, 7011",03 6275 7222,03 6249 2349,Tim Nicholas,Austins.Ferry.Primary@education.tas.gov.au,506.0 (as at 21 February 2020),http://austinsferryprimary.education.tas.edu.au/
6157,Bagdad Primary School,"46 School Road, Bagdad TAS, 7030","46 School Road, Bagdad TAS, 7030",03 6268 6127,03 6268 6536,Collette Harrold,Bagdad.Primary@education.tas.gov.au,140.0 (as at 21 February 2020),http://bagdadprimary.education.tas.edu.au/
6144,Bayview Secondary College,"170 Mockridge Road, Rokeby TAS, 7019","PO Box 70, Rokeby TAS, 7019",03 6247 7800,03 6247 8909,Gill Berriman,Bayview.Secondary.College@education.tas.gov.au,309.3 (as at 21 February 2020),http://bayviewsc.education.tas.edu.au
6267,Beaconsfield Primary School,"33 Grubb Street, Beaconsfield TAS, 7270",33 Grubb Street,03 6383 1215,03 6383 1319,Sharryn Crothers,Beaconsfield.Primary@education.tas.gov.au,221.4 (as at 21 February 2020),http://beaconsfieldprimary.education.tas.edu.au/
6123,Bellerive Primary School,"20 Leslie Street, Bellerive TAS, 7018",20 Leslie Street,03 6244 1200,03 6244 1299,Steven Hay,Bellerive.Primary@education.tas.gov.au,475.8 (as at 21 February 2020),http://belleriveprimary.education.tas.edu.au/
6192,Bicheno Primary School,"2 James Street, Bicheno TAS, 7215","2 James Street, Bicheno TAS, 7215",03 6375 1222,03 6375 1262,Robert Presswell,Bicheno.Primary@education.tas.gov.au,85.2 (as at 21 February 2020),http://bichenoprimary.education.tas.edu.au/
6229,Blackmans Bay Primary School,"177 Roslyn Avenue, Blackmans Bay TAS, 7052",177 Roslyn Avenue,03 6229 6637,03 6229 2170,Della Wells,Blackmans.Bay.Primary@education.tas.gov.au,271.6 (as at 21 February 2020),http://blackmansbayprimary.education.tas.edu.au/
6064,Boat Harbour Primary School,"17386 Bass Highway, Boat Harbour TAS, 7321",17386 Bass Highway,03 6445 1187,03 6445 1028,Peter Brown,Boat.Harbour.Primary@education.tas.gov.au,246.6 (as at 21 February 2020),http://boatharbourprimary.education.tas.edu.au/
6158,Bothwell District High School,"37-39a Patrick Street, Bothwell TAS, 7030","37-39a Patrick Street, Bothwell TAS, 7030",03 6259 5518,03 6259 5610,Nadine Davey,Bothwell.District.High@education.tas.gov.au,70.8 (as at 21 February 2020),http://bothwelldistricthigh.education.tas.edu.au/
6230,Bowen Road Primary School,"35 Bowen Road, Moonah TAS, 7009",,03 6228 1549,03 6228 7691,Susan Richardson,Bowen.Road.Primary@education.tas.gov.au,259.0 (as at 21 February 2020),http://bowenroadprimary.education.tas.edu.au/
6268,Bracknell Primary School,"53 Jane St, Bracknell TAS, 7302",,03 6397 3288,,Amanda Bird,Bracknell.Primary@education.tas.gov.au,52.4 (as at 21 February 2020),http://bracknellprimary.education.tas.edu.au/
6194,Bridport Primary School,"10 South Street, Bridport TAS, 7262","10 South Street, Bridport TAS, 7262",03 6356 1226,03 6356 1666,Carol Stingel,Bridport.Primary@education.tas.gov.au,189.4 (as at 21 February 2020),http://bridportprimary.education.tas.edu.au/
6162,Brighton Primary School,"27 Downie Street, Brighton TAS, 7030",27 Downie Street,03 6268 8200,03 6268 1188,Angela Miezitis,Brighton.Primary@education.tas.gov.au,557.4 (as at 21 February 2020),http://brightonprimary.education.tas.edu.au/
6195,Brooks High School,"215 George Town Road, Rocherlea TAS, 7248","PO Box 522, Mowbray Heights TAS, 7248",03 6324 7200,03 6326 2293,Louise Fisher,Brooks.High@education.tas.gov.au,451.0 (as at 21 February 2020),http://brookshigh.education.tas.edu.au/
6231,Bruny Island District School,"15 School Road, Alonnah TAS, 7150","Care PO Alonnah, Bruny Island TAS, 7150",03 6293 1147,03 6293 1259,Ashley McPherson,Bruny.Island.District@education.tas.gov.au,41.6 (as at 21 February 2020),http://brunyislanddistrict.education.tas.edu.au/
6066,Burnie High School,"Fidler Street, Cooee TAS, 7320",,03 6431 2744,03 6431 9141,Trudy Durkin,Burnie.High@education.tas.gov.au,601.3 (as at 21 February 2020),https://burniehigh.education.tas.edu.au
6067,Burnie Primary School,"15a Van Diemens Crescent, Park Grove TAS, 7320","15a Van Diemens Crescent, Park Grove TAS, 7320",03 6433 3655,03 6433 3858,Andrew Starick,Burnie.Primary@education.tas.gov.au,361.6 (as at 21 February 2020),http://burnieprimary.education.tas.edu.au/
6125,Cambridge Primary School,"976 Cambridge Rd, Cambridge TAS, 7170","976 Cambridge Rd, Cambridge TAS, 7170",03 6248 5168,03 6248 5536,Courtney Howard,Cambridge.Primary@education.tas.gov.au,366.2 (as at 21 February 2020),http://cambridgeprimary.education.tas.edu.au/
6126,Campania District School,"2-4 Union Street, Campania TAS, 7026","2-4 Union Street, Campania TAS, 7026",03 6260 4133,03 6260 4341,Paul Dalla-Fontana,Campania.District.High@education.tas.gov.au,200.4 (as at 21 February 2020),http://campaniadistrict.education.tas.edu.au/
6232,Campbell Street Primary School,"231 Campbell Street, North Hobart TAS, 7000","231 Campbell Street, North Hobart TAS, 7000",03 6234 4950,03 6234 2589,Joanne Waldon,Campbell.Street.Primary@education.tas.gov.au,224.4 (as at 21 February 2020),http://campbellstreetprimary.education.tas.edu.au/
6269,Campbell Town District High School,"106-116 Bridge Street, Campbell Town TAS, 7210","PO Box 33, Campbell Town TAS, 7210",03 6381 1166,03 6381 1586,Cindy-Anne Johnston,Campbell.Town.District.High@education.tas.gov.au,222.3 (as at 21 February 2020),http://campbelltowndistricthigh.education.tas.edu.au/
6196,Cape Barren Island School,"Thunder and Lightning Road, Cape Barren Island TAS, 7257","Thunder and Lightning Road, Cape Barren Island TAS, 7257",03 6359 3720,03 6359 3546,(Position Vacant),Cape.Barren.Island@education.tas.gov.au,13.0 (as at 21 February 2020),http://capebarrenisland.education.tas.edu.au/
6164,Claremont College,"61 Claremont Link Road, Claremont TAS, 7011","PO Box 168, Claremont TAS, 7011",03 6249 6868,03 6249 1984,"Bill Jarvis
Andrew Hughes",Claremont.College@education.tas.gov.au,503.3 (as at 21 February 2020),http://claremontcollege.education.tas.edu.au/
6127,Clarence High School,"25 Wentworth Street, Bellerive TAS, 7018","25 Wentworth Street, Bellerive TAS, 7018",03 6244 2544,03 6244 2579,Alanna Green,Clarence.High@education.tas.gov.au,581.2 (as at 21 February 2020),http://clarencehigh.education.tas.edu.au/
6128,Clarendon Vale Primary School,"25 Mockridge Road, Clarendon Vale TAS, 7019","Care PO Box 19, Rokeby TAS, 7019",03 6247 7055,03 6247 8911,Carolyn Murray,Clarendon.Vale.Primary@education.tas.gov.au,113.2 (as at 21 February 2020),http://clarendonvaleprimary.education.tas.edu.au/
6167,Collinsvale Primary School,"508 Collinsvale Road, Collinsvale TAS, 7012",508 Collinsvale Road,03 6239 0176,03 6239 0366,Angela Burbury,Collinsvale.Primary@education.tas.gov.au,52.6 (as at 21 February 2020),http://collinsvaleprimary.education.tas.edu.au/
6068,Cooee Primary School,"Bass Highway, Cooee TAS, 7320",Bass Highway,03 6431 1151,03 6431 8217,Marcelle Norton,Cooee.Primary@education.tas.gov.au,165.4 (as at 21 February 2020),http://cooeeprimary.education.tas.edu.au/
6168,Cosgrove High School,"286-294 Main Road, Glenorchy TAS, 7010","PO Box 153, Glenorchy TAS, 7010",03 6271 1111,03 6273 2699,Andrew Woodham,Cosgrove.High@education.tas.gov.au,217.0 (as at 21 February 2020),http://cosgrovehigh.education.tas.edu.au/
6270,Cressy District High School,"112-118 Main Street, Cressy TAS, 7302","112-118 Main Street, Cressy TAS, 7302",03 6397 6281,03 6397 6525,"Daisy Stephens
Craig Brown",Cressy.District.High@education.tas.gov.au,280.0 (as at 21 February 2020),http://cressydistricthigh.education.tas.edu.au/
6234,Cygnet Primary School,"21 Louisa Street, Cygnet TAS, 7112",21 Louisa Street,03 6295 1241,03 6295 0071,Darryl Williams,Cygnet.Primary@education.tas.gov.au,191.6 (as at 21 February 2020),http://cygnetprimary.education.tas.edu.au/
6271,Deloraine High School,"24 Lansdowne Place, Deloraine TAS, 7304","PO Box 84, Deloraine TAS, 7304",03 6362 8900,,David Lietzau,Deloraine.High@education.tas.gov.au,278.2 (as at 21 February 2020),http://delorainehigh.education.tas.edu.au/
6272,Deloraine Primary School,"32-36 East Barrack Street, Deloraine TAS, 7304","32-36 East Barrack Street, Deloraine TAS, 7304",03 6362 8999,,Julie Pike,Deloraine.Primary@education.tas.gov.au,322.1 (as at 21 February 2020),http://deloraineprimary.education.tas.edu.au/
6097,Devonport High School,"91 Best Street, Devonport TAS, 7310",91 Best Street,03 6424 9461,03 6424 6621,Peter Bird,Devonport.High@education.tas.gov.au,457.0 (as at 21 February 2020),http://devonporthigh.education.tas.edu.au/
6098,Devonport Primary School,"57a Stewart Street, Devonport TAS, 7310","Care PO Box 230, Devonport TAS, 7310",03 6424 7788,03 6424 1659,Nichole Todd,Devonport.Primary@education.tas.gov.au,268.6 (as at 21 February 2020),http://devonportprimary.education.tas.edu.au/
6129,Dodges Ferry Primary School,"538 Old Forcett Road, Dodges Ferry TAS, 7173",Old Forcett Road,03 6265 8116,03 6265 8380,Phil Novak,Dodges.Ferry.Primary@education.tas.gov.au,471.6 (as at 21 February 2020),http://dodgesferryprimary.education.tas.edu.au/
6783,Don College,"87-121 Watkinson Street, Devonport TAS, 7310","87-121 Watkinson Street, Devonport TAS, 7310",03 6424 0200,03 6424 9740,John Thompson,Don.College@education.tas.gov.au,795.4 (as at 21 February 2020),http://doncollege.education.tas.edu.au/
6235,Dover District School,"6940 Huon Highway, Dover TAS, 7117",,03 6298 1312,03 6298 1541,Thomas Eastland,Dover.District.High@education.tas.gov.au,118.7 (as at 21 February 2020),http://doverdistricthigh.education.tas.edu.au/
6130,Dunalley Primary School,"20-32 Bay Street, Dunalley TAS, 7177","20-32 Bay Street, Dunalley TAS, 7177",03 6253 5151,03 6253 5470,Clare McVilly,Dunalley.Primary@education.tas.gov.au,90.2 (as at 21 February 2020),http://dunalleyprimary.education.tas.edu.au/
6301,Early Childhood Intervention Service - Tasmania Burnie,"36 Thorne Street, Burnie TAS, 7320","36 Thorne Street, Burnie TAS, 7320",03 6430 4200,03 6431 1665,Kylie Hyland,ecis.tasmania.burnie@education.tas.gov.au,25.3 (as at 21 February 2020),http://education.tas.edu.au/ECIS/
6302,Early Childhood Intervention Service - Tasmania Devonport,"51 Steele Street, Devonport TAS, 7310","Devonport TAS, 7310",03 6447 1293,,Annette Saunders,ecis.tasmania.devonport@education.tas.gov.au,23.4 (as at 21 February 2020),http://education.tas.edu.au/ECIS/
6303,Early Childhood Intervention Service - Tasmania Hobart,"174 Brooker Avenue, North Hobart TAS, 7000","174 Brooker Avenue, North Hobart TAS, 7000",03 6231 1625,03 6231 4246,Amanda Urquhart,ecis.tasmania.hobart@education.tas.gov.au,88.8 (as at 21 February 2020),http://education.tas.edu.au/ECIS/
6304,Early Childhood Intervention Service - Tasmania Launceston,"11A Munford Street, Kings Meadows TAS, 7249","11A Munford Street, Kings Meadows TAS, 7249",03 6344 1729,03 6343 4925,Nicole Ciantar-Jones,ecis.tasmania.launceston@education.tas.gov.au,61.9 (as at 21 February 2020),http://education.tas.edu.au/ECIS/
6099,East Devonport Primary School,"19-21 Thomas Street, East Devonport TAS, 7310","19 Thomas Street, East Devonport TAS, 7310",03 6427 8932,03 6427 0838,Brett Youd,East.Devonport.Primary@education.tas.gov.au,217.0 (as at 21 February 2020),http://eastdevonportprimary.education.tas.edu.au/
